id;price;address;neighborhood/city;rooms;garage;bathroom;square_meter;type;suite;gym;balcony;hall;transaction_type;lat;long
133004;310000;Rua Araua; Parque Jandaia;5;2;3;125;6;0;0;1;0;Alguel;;
824349;150000;Parque Alpina; Igaratá;1;0;1;300;9;0;0;0;0;Alguel;;
171031;35000;Rua Santa Isabel; Ouro Fino;1;0;1;1000;8;0;0;0;0;Alguel;;
937632;60000;Rua Miosótis; Usina;1;0;1;500;8;0;0;0;0;Alguel;;
17005;410010;Avenida Augusto Franco; Getúlio Vargas;3;1;2;78;2;0;0;0;0;Alguel;-10.909774;-37.0662373
474250;2300000;Rua Nicolau Vitiello; Jardim Acapulco ;3;4;5;260;6;1;0;0;0;Alguel;;
2221;1100000;Zona Rural; Paraibuna;3;0;1;150;9;1;0;0;0;Alguel;;
515894;4250000;Avenida Coronel Miguel Dias; Guararapes;5;5;4;259;2;0;0;0;0;Alguel;-3.7602961;-38.4880035
264137;349900;Rua João Fornari; Jardim Independencia;3;4;2;173;8;1;0;0;0;Alguel;;
540745;350000;Rua Apeninos; Vila Albertina;3;4;3;250;5;1;0;0;0;Alguel;;
174398;330000;Avenida da Saudade; Campos Eliseos;3;3;3;169;6;1;0;0;0;Alguel;;
269259;340000;Rua Gedeon Alves Feitosa; Jardim Independencia;3;3;2;195;6;1;0;0;0;Alguel;;
749422;280000;Rua Adalberto Pajuaba; Sumarezinho;3;2;2;168;6;1;0;0;0;Alguel;-21.1602545;-47.8242847
461008;0;Rua Gabriel Carraro; Parque dos Servidores;2;2;2;143;6;1;0;0;0;Alguel;;
892756;200000;Avenida Maestro Alfredo Pires; Jardim Heitor Rigon;3;3;4;190;6;1;0;0;0;Alguel;-21.1146384;-47.8160348
552604;85000;Rua H; Parque D Pedro;3;1;2;95;6;1;0;0;0;Alguel;-3.9061294;-38.5120618
761225;100000;Avenida Arco-Íris; Boa Viagem;3;1;2;100;9;0;0;0;0;Alguel;;
