id;price;address;neighborhood/city;rooms;garage;bathroom;square_meter;type;suite;gym;balcony;hall
363036;30000;Rua Albino Rodrigues Neves; Center Ville;1;0;1;500;8;0;0;0;0
410854;60000;Rua Acre; Centro;1;0;1;600;8;0;0;0;0
79347;45000;Rua José Prianti Sobrinho; 415;1;0;1;1000;8;0;0;0;0
639318;30000;Avenida Manoel Ferraz de Campos Sales; Centro;1;0;1;500;8;0;0;0;0
208709;530000;Rua Arruda Alvim; Pinheiros;1;parking1;1;27;2;0;0;0;0
315239;30000;Rua Albino Rodrigues Neves; Centro;1;0;1;500;8;0;0;0;0
539868;30000;Avenida João Manoel; Centro;1;0;1;500;8;0;0;0;0
688565;30000;Avenida João Manoel; Centro;1;0;1;500;8;0;0;0;0
620791;467850;Avenida Joaquina Ramalho; Vila Guilherme;2;parking1;2;60;2;1;0;0;0
951935;49900;Rua José Alvim; Centro;1;0;1;600;8;0;0;0;0
882476;25000;Rua José Prianti Sobrinho; 415;1;0;1;500;8;0;0;0;0
710277;60000;Rua José Prianti Sobrinho; Recanto das Águas;1;0;1;600;8;0;0;0;0
600267;35000;Centro; Santa Isabel;1;0;1;1000;8;0;0;0;0
726976;29999;Avenida Comendador Vicente de Paula Penido; Centro;1;0;1;600;8;0;0;0;0
872416;29999;Avenida Comendador Vicente de Paula Penido; Centro;1;0;1;600;8;0;0;0;0
879363;25000;Rua José Prianti Sobrinho; 415;1;0;1;500;8;0;0;0;0
652708;60000;Avenida Antônio Mathias de Camargo; Cachoeira;1;0;1;600;8;0;0;0;0
79398;169900;Avenida Antônio Cabral de Souza; Nossa Senhora da Conceição;2;parking1;1;46;9;0;0;0;0
233883;45000;Rua José Prianti Sobrinho; 415;1;0;1;1000;8;0;0;0;0
523222;30000;Avenida Marechal Castelo Branco; Jardim Rincão;1;0;1;500;8;0;0;0;0
201944;29990;Avenida Comendador Vicente de Paula Penido; Centro;1;0;1;600;8;0;0;0;0
361896;60000;Avenida Antônio Mathias de Camargo; Cachoeira;1;0;1;600;8;0;0;0;0
491094;30000;Avenida Antonio Afonso de Lima; Centro;1;0;1;500;8;0;0;0;0
850206;49900;Rua José Alvim; Centro;1;0;1;600;8;0;0;0;0
255763;45000;Rua José Prianti Sobrinho; Centro;1;0;1;1000;8;0;0;0;0
299605;49900;Rua José Alvim; Centro;1;0;1;600;8;0;0;0;0
682546;45000;Rua José Prianti Sobrinho; 415;1;0;1;1000;8;0;0;0;0
392585;35000;Estrada Bairro Ouro Fino; Ouro Fino;1;0;1;1000;9;0;0;0;0
657294;45000;Rua José Prianti Sobrinho; 415;1;0;1;1000;8;0;0;0;0
775277;45000;Boa Vista; Igaratá;1;0;1;1000;8;0;0;0;0
889681;30000;Rua Major Benjamin Franco; Centro;1;0;1;500;8;0;0;0;0
247026;60000;Rua José Prianti Sobrinho; Porto de Igaratá;1;0;1;600;6;0;0;0;0
422200;60000;Praça Raul Chaves; Centro;1;0;1;600;8;0;0;0;0
540011;60000;Rua José Prianti Sobrinho; Centro;1;0;1;600;8;0;0;0;0
714646;30000;Avenida João Manoel; Centro;1;0;1;500;8;0;0;0;0
308591;1100000;Petrópolis; Porto Alegre;2;parking2;2;164;2;0;0;1;0
