id;price;address;neighborhood/city;rooms;garage;bathroom;square_meter;type
642307;49900;Avenida Comendador Vicente de Paula Penido; Centro;1;0;1;600;8
202711;280000;Rua Francisco de Assis Delmondes Pereira Freitas; Ponto Novo;3;parking1;2;75;2
498382;60000;Rua Alfredo Schurig; Centro;1;0;1;600;8
222901;49900;Rua João José Batista; Centro;1;0;1;600;8
789079;70000;Rua Doutor Ladislau Cavalcanti; Iapi;3;parking1;2;100;9
359138;462718;Rua Cândido Lacerda; Torreão;2;parking1;2;57;9
284737;60000;Rua José Prianti Sobrinho; Centro;1;0;1;600;8
946293;25000;Rua José Prianti Sobrinho; Centro;1;0;1;500;8
945137;29999;Avenida Comendador Vicente de Paula Penido; Centro;1;0;1;600;8
598096;29999;Avenida Comendador Vicente de Paula Penido; Centro;1;0;1;600;8
585935;200000;Rua General Câmara; Ipiranga;3;parking2;1;100;6
991171;49900;Avenida Comendador Vicente de Paula Penido; Centro;1;0;1;600;8
331225;250000;Avenida Monteiro Lobato; VILA VIRGINIA;2;parking2;2;107;5
897786;29900;Rua Major Benjamin Franco; Centro;1;0;1;500;8
415297;60000;Rua José Prianti Sobrinho; Centro;1;0;1;600;8
317496;350700;Rua José Arnaldo Taques; Residencial Guaira;3;parking2;2;90;6
447618;49900;Avenida Comendador Vicente de Paula Penido; Centro;1;0;1;600;8
775114;35000;Estrada Bairro Ouro Fino; Ouro Fino;1;0;1;1000;8
593112;25000;Rua José Prianti Sobrinho; 415;1;0;1;500;8
321488;290000;Rua Adalberto Pajuaba; Sumarezinho;2;parking2;3;269;6
815168;49900;Rua José Prianti Sobrinho; Centro;1;0;1;600;8
882252;49900;Centro; Nazaré Paulista;1;0;1;600;8
842820;25000;Boa Vista; Igaratá;1;0;1;500;8
642940;49900;Centro; Nazaré Paulista;1;0;1;600;8
220353;550000;Rua José Juvenil; Parque Havai;3;parking2;3;110;6
423920;29999;Avenida Comendador Vicente de Paula Penido; Centro;1;0;1;600;8
222251;150000;Parque Alpina; Igaratá;1;0;1;300;9
696925;29900;Rua Major Benjamin Franco; Centro;1;0;1;500;8
354925;25000;Rua José Prianti Sobrinho; 415;1;0;1;500;8
801025;60000;Rua José Prianti Sobrinho; Centro;1;0;1;600;8
501068;29990;Avenida Comendador Vicente de Paula Penido; Centro;1;0;1;600;8
867174;49900;Avenida Comendador Vicente de Paula Penido; Centro;1;0;1;600;8
